,train loss,val loss
0,1.9016950130462646,1.3906316757202148
1,1.0901055335998535,1.2116612195968628
2,0.8831657767295837,0.8451807498931885
3,0.7679231762886047,0.800731360912323
4,0.6948171854019165,0.7346833348274231
5,0.6462365984916687,0.882888674736023
6,0.616890549659729,0.6164665222167969
7,0.5900538563728333,0.7077669501304626
8,0.5752993822097778,0.7040174603462219
9,0.5648969411849976,0.6387118101119995
10,0.5531689524650574,0.5785269141197205
11,0.5486732125282288,0.5626262426376343
12,0.5466084480285645,0.5782008767127991
13,0.5505422353744507,0.5481762290000916
14,0.5528729557991028,0.5571439862251282
15,0.5603281259536743,0.626986026763916
16,0.5721941590309143,0.6251649260520935
17,0.5891226530075073,0.6065159440040588
18,0.615031898021698,0.6690462231636047
19,0.6514468193054199,0.6841747164726257
