,accuracies
0,0.5996026992797852
1,0.5908527374267578
2,0.7540384531021118
3,0.7800966501235962
4,0.7804943323135376
5,0.7755829095840454
6,0.7975383996963501
7,0.803643524646759
8,0.8056241273880005
9,0.8098166584968567
10,0.8438775539398193
11,0.8212198615074158
12,0.8462159633636475
13,0.8316501975059509
14,0.8337599635124207
15,0.7256494164466858
16,0.8453854322433472
17,0.7528530955314636
18,0.8245331645011902
19,0.8095791339874268
