,train loss,val loss
0,1.7904536724090576,1.3048133850097656
1,1.0620448589324951,0.9519741535186768
2,0.8562540411949158,0.8146997690200806
3,0.7463276386260986,0.8015216588973999
4,0.6734642386436462,0.7112905383110046
5,0.6217048764228821,0.6388825178146362
6,0.5851064920425415,0.6173120737075806
7,0.5583845376968384,0.6082891821861267
8,0.5388586521148682,0.6298643350601196
9,0.5238828659057617,0.5607231259346008
10,0.5133624076843262,0.6186636686325073
11,0.5066449046134949,0.5547139048576355
12,0.5031865239143372,0.6023839116096497
13,0.5019901990890503,0.6015845537185669
14,0.5060973167419434,0.7775871753692627
15,0.5151780843734741,0.5626251697540283
16,0.5237216353416443,0.6130723357200623
17,0.5409435629844666,0.6206667423248291
18,0.566985011100769,0.6363464593887329
19,0.6031814813613892,0.6712965369224548
